entry_id,user_id,period,income_x,expense_amount,category,priority_flag,cutoff_rate,cutoff_note,currency,total_expenses,income_y,expense_ratio,risk_flag
72,U007,2025-08,1663,235,Insurance,non_negotiable,0.0,-,RWF,3454,1663,2.0769693325315695,1
73,U007,2025-08,1663,724,Health,non_negotiable,0.0,-,RWF,3454,1663,2.0769693325315695,1
74,U007,2025-08,1663,209,Other,medium,0.32,Potential to reduce,RWF,3454,1663,2.0769693325315695,1
75,U007,2025-08,1663,442,Insurance,non_negotiable,0.0,-,RWF,3454,1663,2.0769693325315695,1
76,U007,2025-08,1663,135,Clothing,medium,0.45,Potential to reduce,RWF,3454,1663,2.0769693325315695,1
77,U007,2025-08,1663,269,Transport,high,0.41,Potential to reduce,RWF,3454,1663,2.0769693325315695,1
78,U008,2025-08,3860,233,Food,high,0.26,Potential to reduce,RWF,3792,3860,0.9823834196891191,1
79,U008,2025-08,3860,755,Health,non_negotiable,0.0,-,RWF,3792,3860,0.9823834196891191,1
80,U008,2025-08,3860,133,Clothing,medium,0.45,Potential to reduce,RWF,3792,3860,0.9823834196891191,1
81,U008,2025-08,3860,430,Transport,high,0.2,Potential to reduce,RWF,3792,3860,0.9823834196891191,1
82,U008,2025-08,3860,111,Entertainment,low,0.21,Potential to reduce,RWF,3792,3860,0.9823834196891191,1
83,U008,2025-08,3860,148,Entertainment,low,0.15,Potential to reduce,RWF,3792,3860,0.9823834196891191,1
84,U008,2025-08,3860,458,Housing (Rent),non_negotiable,0.0,-,RWF,3792,3860,0.9823834196891191,1
85,U008,2025-08,3860,458,Savings,high,0.12,Potential to reduce,RWF,3792,3860,0.9823834196891191,1
86,U008,2025-08,3860,236,Education,high,0.27,Potential to reduce,RWF,3792,3860,0.9823834196891191,1
87,U008,2025-08,3860,424,Health,non_negotiable,0.0,-,RWF,3792,3860,0.9823834196891191,1
88,U008,2025-08,3860,406,Food,high,0.17,Potential to reduce,RWF,3792,3860,0.9823834196891191,1
89,U009,2025-08,1463,414,Transport,high,0.2,Potential to reduce,RWF,2694,1463,1.8414217361585783,1
90,U009,2025-08,1463,195,Savings,high,0.3,Potential to reduce,RWF,2694,1463,1.8414217361585783,1
91,U009,2025-08,1463,199,Entertainment,low,0.21,Potential to reduce,RWF,2694,1463,1.8414217361585783,1
92,U009,2025-08,1463,71,Entertainment,low,0.16,Potential to reduce,RWF,2694,1463,1.8414217361585783,1
93,U009,2025-08,1463,394,Savings,high,0.27,Potential to reduce,RWF,2694,1463,1.8414217361585783,1
94,U009,2025-08,1463,162,Clothing,medium,0.12,Potential to reduce,RWF,2694,1463,1.8414217361585783,1
95,U009,2025-08,1463,180,Savings,high,0.17,Potential to reduce,RWF,2694,1463,1.8414217361585783,1
96,U009,2025-08,1463,51,Other,medium,0.28,Potential to reduce,RWF,2694,1463,1.8414217361585783,1
97,U009,2025-08,1463,103,Clothing,medium,0.06,Potential to reduce,RWF,2694,1463,1.8414217361585783,1
98,U009,2025-08,1463,323,Savings,high,0.46,Potential to reduce,RWF,2694,1463,1.8414217361585783,1
99,U009,2025-08,1463,602,Insurance,non_negotiable,0.0,-,RWF,2694,1463,1.8414217361585783,1
100,U010,2025-08,2461,179,Clothing,medium,0.29,Potential to reduce,RWF,3183,2461,1.2933766761479073,1
101,U010,2025-08,2461,317,Food,high,0.49,Potential to reduce,RWF,3183,2461,1.2933766761479073,1
102,U010,2025-08,2461,615,Housing (Rent),non_negotiable,0.0,-,RWF,3183,2461,1.2933766761479073,1
103,U010,2025-08,2461,296,Clothing,medium,0.35,Potential to reduce,RWF,3183,2461,1.2933766761479073,1
104,U010,2025-08,2461,252,Other,medium,0.22,Potential to reduce,RWF,3183,2461,1.2933766761479073,1
105,U010,2025-08,2461,194,Clothing,medium,0.38,Potential to reduce,RWF,3183,2461,1.2933766761479073,1
106,U010,2025-08,2461,73,Other,medium,0.26,Potential to reduce,RWF,3183,2461,1.2933766761479073,1
107,U010,2025-08,2461,197,Education,high,0.34,Potential to reduce,RWF,3183,2461,1.2933766761479073,1
108,U010,2025-08,2461,494,Education,high,0.42,Potential to reduce,RWF,3183,2461,1.2933766761479073,1
109,U010,2025-08,2461,243,Transport,high,0.43,Potential to reduce,RWF,3183,2461,1.2933766761479073,1
110,U010,2025-08,2461,323,Insurance,non_negotiable,0.0,-,RWF,3183,2461,1.2933766761479073,1
111,U011,2025-08,986,425,Food,high,0.36,Potential to reduce,RWF,3246,986,3.292089249492901,1
112,U011,2025-08,986,22,Entertainment,low,0.32,Potential to reduce,RWF,3246,986,3.292089249492901,1
113,U011,2025-08,986,183,Subscriptions,low,0.06,Potential to reduce,RWF,3246,986,3.292089249492901,1
114,U011,2025-08,986,246,Food,high,0.21,Potential to reduce,RWF,3246,986,3.292089249492901,1
115,U011,2025-08,986,688,Health,non_negotiable,0.0,-,RWF,3246,986,3.292089249492901,1
116,U011,2025-08,986,210,Clothing,medium,0.23,Potential to reduce,RWF,3246,986,3.292089249492901,1
117,U011,2025-08,986,88,Other,medium,0.47,Potential to reduce,RWF,3246,986,3.292089249492901,1
118,U011,2025-08,986,228,Food,high,0.35,Potential to reduce,RWF,3246,986,3.292089249492901,1
119,U011,2025-08,986,197,Subscriptions,low,0.47,Potential to reduce,RWF,3246,986,3.292089249492901,1
120,U011,2025-08,986,497,Insurance,non_negotiable,0.0,-,RWF,3246,986,3.292089249492901,1
121,U011,2025-08,986,462,Insurance,non_negotiable,0.0,-,RWF,3246,986,3.292089249492901,1
122,U012,2025-08,2587,343,Insurance,non_negotiable,0.0,-,RWF,3274,2587,1.2655585620409742,1
123,U012,2025-08,2587,545,Housing (Rent),non_negotiable,0.0,-,RWF,3274,2587,1.2655585620409742,1
124,U012,2025-08,2587,211,Transport,high,0.3,Potential to reduce,RWF,3274,2587,1.2655585620409742,1
125,U012,2025-08,2587,79,Entertainment,low,0.17,Potential to reduce,RWF,3274,2587,1.2655585620409742,1
126,U012,2025-08,2587,484,Transport,high,0.09,Potential to reduce,RWF,3274,2587,1.2655585620409742,1
127,U012,2025-08,2587,239,Food,high,0.3,Potential to reduce,RWF,3274,2587,1.2655585620409742,1
128,U012,2025-08,2587,179,Entertainment,low,0.33,Potential to reduce,RWF,3274,2587,1.2655585620409742,1
129,U012,2025-08,2587,208,Housing (Rent),non_negotiable,0.0,-,RWF,3274,2587,1.2655585620409742,1
130,U012,2025-08,2587,332,Education,high,0.21,Potential to reduce,RWF,3274,2587,1.2655585620409742,1
131,U012,2025-08,2587,403,Transport,high,0.43,Potential to reduce,RWF,3274,2587,1.2655585620409742,1
132,U012,2025-08,2587,251,Savings,high,0.23,Potential to reduce,RWF,3274,2587,1.2655585620409742,1
133,U013,2025-08,2496,215,Food,high,0.09,Potential to reduce,RWF,2895,2496,1.1598557692307692,1
134,U013,2025-08,2496,203,Transport,high,0.32,Potential to reduce,RWF,2895,2496,1.1598557692307692,1
135,U013,2025-08,2496,131,Subscriptions,low,0.1,Potential to reduce,RWF,2895,2496,1.1598557692307692,1
136,U013,2025-08,2496,198,Education,high,0.49,Potential to reduce,RWF,2895,2496,1.1598557692307692,1
137,U013,2025-08,2496,165,Entertainment,low,0.12,Potential to reduce,RWF,2895,2496,1.1598557692307692,1
138,U013,2025-08,2496,437,Food,high,0.27,Potential to reduce,RWF,2895,2496,1.1598557692307692,1
139,U013,2025-08,2496,362,Health,non_negotiable,0.0,-,RWF,2895,2496,1.1598557692307692,1
140,U013,2025-08,2496,257,Other,medium,0.5,Potential to reduce,RWF,2895,2496,1.1598557692307692,1
141,U013,2025-08,2496,260,Transport,high,0.06,Potential to reduce,RWF,2895,2496,1.1598557692307692,1
142,U013,2025-08,2496,597,Health,non_negotiable,0.0,-,RWF,2895,2496,1.1598557692307692,1
143,U013,2025-08,2496,70,Clothing,medium,0.13,Potential to reduce,RWF,2895,2496,1.1598557692307692,1
144,U014,2025-08,2327,591,Health,non_negotiable,0.0,-,RWF,3108,2327,1.3356252685861625,1
145,U014,2025-08,2327,234,Education,high,0.37,Potential to reduce,RWF,3108,2327,1.3356252685861625,1
146,U014,2025-08,2327,227,Education,high,0.31,Potential to reduce,RWF,3108,2327,1.3356252685861625,1
147,U014,2025-08,2327,659,Housing (Rent),non_negotiable,0.0,-,RWF,3108,2327,1.3356252685861625,1
148,U014,2025-08,2327,134,Entertainment,low,0.34,Potential to reduce,RWF,3108,2327,1.3356252685861625,1
149,U014,2025-08,2327,41,Subscriptions,low,0.16,Potential to reduce,RWF,3108,2327,1.3356252685861625,1
150,U014,2025-08,2327,137,Education,high,0.49,Potential to reduce,RWF,3108,2327,1.3356252685861625,1
151,U014,2025-08,2327,150,Food,high,0.45,Potential to reduce,RWF,3108,2327,1.3356252685861625,1
152,U014,2025-08,2327,76,Other,medium,0.25,Potential to reduce,RWF,3108,2327,1.3356252685861625,1
153,U014,2025-08,2327,376,Food,high,0.28,Potential to reduce,RWF,3108,2327,1.3356252685861625,1
154,U014,2025-08,2327,483,Housing (Rent),non_negotiable,0.0,-,RWF,3108,2327,1.3356252685861625,1
155,U015,2025-08,3726,680,Housing (Rent),non_negotiable,0.0,-,RWF,4246,3726,1.1395598497047772,1
156,U015,2025-08,3726,652,Insurance,non_negotiable,0.0,-,RWF,4246,3726,1.1395598497047772,1
157,U015,2025-08,3726,715,Housing (Rent),non_negotiable,0.0,-,RWF,4246,3726,1.1395598497047772,1
158,U015,2025-08,3726,84,Clothing,medium,0.4,Potential to reduce,RWF,4246,3726,1.1395598497047772,1
159,U015,2025-08,3726,116,Savings,high,0.5,Potential to reduce,RWF,4246,3726,1.1395598497047772,1
160,U015,2025-08,3726,177,Subscriptions,low,0.48,Potential to reduce,RWF,4246,3726,1.1395598497047772,1
161,U015,2025-08,3726,472,Food,high,0.45,Potential to reduce,RWF,4246,3726,1.1395598497047772,1
162,U015,2025-08,3726,143,Entertainment,low,0.06,Potential to reduce,RWF,4246,3726,1.1395598497047772,1
163,U015,2025-08,3726,479,Insurance,non_negotiable,0.0,-,RWF,4246,3726,1.1395598497047772,1
164,U015,2025-08,3726,448,Education,high,0.24,Potential to reduce,RWF,4246,3726,1.1395598497047772,1
165,U015,2025-08,3726,280,Transport,high,0.31,Potential to reduce,RWF,4246,3726,1.1395598497047772,1
166,U016,2025-08,1499,135,Entertainment,low,0.18,Potential to reduce,RWF,4268,1499,2.847231487658439,1
167,U016,2025-08,1499,179,Subscriptions,low,0.43,Potential to reduce,RWF,4268,1499,2.847231487658439,1
168,U016,2025-08,1499,116,Clothing,medium,0.13,Potential to reduce,RWF,4268,1499,2.847231487658439,1
169,U016,2025-08,1499,765,Housing (Rent),non_negotiable,0.0,-,RWF,4268,1499,2.847231487658439,1
170,U016,2025-08,1499,769,Health,non_negotiable,0.0,-,RWF,4268,1499,2.847231487658439,1
171,U016,2025-08,1499,422,Food,high,0.31,Potential to reduce,RWF,4268,1499,2.847231487658439,1
172,U016,2025-08,1499,487,Insurance,non_negotiable,0.0,-,RWF,4268,1499,2.847231487658439,1
173,U016,2025-08,1499,354,Health,non_negotiable,0.0,-,RWF,4268,1499,2.847231487658439,1
174,U016,2025-08,1499,689,Housing (Rent),non_negotiable,0.0,-,RWF,4268,1499,2.847231487658439,1
175,U016,2025-08,1499,149,Subscriptions,low,0.2,Potential to reduce,RWF,4268,1499,2.847231487658439,1
176,U016,2025-08,1499,203,Food,high,0.36,Potential to reduce,RWF,4268,1499,2.847231487658439,1
177,U017,2025-08,1045,275,Transport,high,0.3,Potential to reduce,RWF,3756,1045,3.594258373205742,1
178,U017,2025-08,1045,189,Entertainment,low,0.41,Potential to reduce,RWF,3756,1045,3.594258373205742,1
179,U017,2025-08,1045,454,Savings,high,0.17,Potential to reduce,RWF,3756,1045,3.594258373205742,1
180,U017,2025-08,1045,607,Insurance,non_negotiable,0.0,-,RWF,3756,1045,3.594258373205742,1
181,U017,2025-08,1045,32,Subscriptions,low,0.09,Potential to reduce,RWF,3756,1045,3.594258373205742,1
182,U017,2025-08,1045,184,Clothing,medium,0.28,Potential to reduce,RWF,3756,1045,3.594258373205742,1
183,U017,2025-08,1045,222,Other,medium,0.14,Potential to reduce,RWF,3756,1045,3.594258373205742,1
184,U017,2025-08,1045,711,Housing (Rent),non_negotiable,0.0,-,RWF,3756,1045,3.594258373205742,1
185,U017,2025-08,1045,599,Housing (Rent),non_negotiable,0.0,-,RWF,3756,1045,3.594258373205742,1
186,U017,2025-08,1045,241,Food,high,0.45,Potential to reduce,RWF,3756,1045,3.594258373205742,1
187,U017,2025-08,1045,242,Education,high,0.22,Potential to reduce,RWF,3756,1045,3.594258373205742,1
188,U018,2025-08,1633,387,Transport,high,0.31,Potential to reduce,RWF,2593,1633,1.587875076546234,1
189,U018,2025-08,1633,441,Education,high,0.2,Potential to reduce,RWF,2593,1633,1.587875076546234,1
190,U018,2025-08,1633,82,Subscriptions,low,0.49,Potential to reduce,RWF,2593,1633,1.587875076546234,1
191,U018,2025-08,1633,199,Clothing,medium,0.32,Potential to reduce,RWF,2593,1633,1.587875076546234,1
192,U018,2025-08,1633,105,Entertainment,low,0.16,Potential to reduce,RWF,2593,1633,1.587875076546234,1
193,U018,2025-08,1633,269,Savings,high,0.42,Potential to reduce,RWF,2593,1633,1.587875076546234,1
194,U018,2025-08,1633,73,Subscriptions,low,0.29,Potential to reduce,RWF,2593,1633,1.587875076546234,1
195,U018,2025-08,1633,463,Health,non_negotiable,0.0,-,RWF,2593,1633,1.587875076546234,1
196,U018,2025-08,1633,72,Subscriptions,low,0.17,Potential to reduce,RWF,2593,1633,1.587875076546234,1
197,U018,2025-08,1633,207,Savings,high,0.33,Potential to reduce,RWF,2593,1633,1.587875076546234,1
198,U018,2025-08,1633,295,Education,high,0.43,Potential to reduce,RWF,2593,1633,1.587875076546234,1
199,U019,2025-08,1791,549,Housing (Rent),non_negotiable,0.0,-,RWF,3128,1791,1.7465103294249023,1
200,U019,2025-08,1791,96,Other,medium,0.36,Potential to reduce,RWF,3128,1791,1.7465103294249023,1
201,U019,2025-08,1791,187,Entertainment,low,0.38,Potential to reduce,RWF,3128,1791,1.7465103294249023,1
202,U019,2025-08,1791,468,Insurance,non_negotiable,0.0,-,RWF,3128,1791,1.7465103294249023,1
203,U019,2025-08,1791,469,Savings,high,0.28,Potential to reduce,RWF,3128,1791,1.7465103294249023,1
204,U019,2025-08,1791,207,Clothing,medium,0.07,Potential to reduce,RWF,3128,1791,1.7465103294249023,1
205,U019,2025-08,1791,169,Clothing,medium,0.17,Potential to reduce,RWF,3128,1791,1.7465103294249023,1
206,U019,2025-08,1791,141,Clothing,medium,0.38,Potential to reduce,RWF,3128,1791,1.7465103294249023,1
207,U019,2025-08,1791,445,Food,high,0.06,Potential to reduce,RWF,3128,1791,1.7465103294249023,1
208,U019,2025-08,1791,316,Insurance,non_negotiable,0.0,-,RWF,3128,1791,1.7465103294249023,1
209,U019,2025-08,1791,81,Subscriptions,low,0.43,Potential to reduce,RWF,3128,1791,1.7465103294249023,1
210,U020,2025-08,2731,228,Education,high,0.13,Potential to reduce,RWF,4572,2731,1.6741120468692787,1
211,U020,2025-08,2731,20,Subscriptions,low,0.25,Potential to reduce,RWF,4572,2731,1.6741120468692787,1
212,U020,2025-08,2731,295,Insurance,non_negotiable,0.0,-,RWF,4572,2731,1.6741120468692787,1
213,U020,2025-08,2731,317,Housing (Rent),non_negotiable,0.0,-,RWF,4572,2731,1.6741120468692787,1
214,U020,2025-08,2731,759,Housing (Rent),non_negotiable,0.0,-,RWF,4572,2731,1.6741120468692787,1
215,U020,2025-08,2731,687,Insurance,non_negotiable,0.0,-,RWF,4572,2731,1.6741120468692787,1
216,U020,2025-08,2731,436,Insurance,non_negotiable,0.0,-,RWF,4572,2731,1.6741120468692787,1
217,U020,2025-08,2731,166,Clothing,medium,0.34,Potential to reduce,RWF,4572,2731,1.6741120468692787,1
218,U020,2025-08,2731,238,Other,medium,0.38,Potential to reduce,RWF,4572,2731,1.6741120468692787,1
219,U020,2025-08,2731,646,Insurance,non_negotiable,0.0,-,RWF,4572,2731,1.6741120468692787,1
220,U020,2025-08,2731,780,Housing (Rent),non_negotiable,0.0,-,RWF,4572,2731,1.6741120468692787,1
221,U021,2025-08,3637,448,Transport,high,0.24,Potential to reduce,RWF,3379,3637,0.9290624140775364,1
222,U021,2025-08,3637,125,Other,medium,0.3,Potential to reduce,RWF,3379,3637,0.9290624140775364,1
223,U021,2025-08,3637,185,Transport,high,0.06,Potential to reduce,RWF,3379,3637,0.9290624140775364,1
224,U021,2025-08,3637,88,Subscriptions,low,0.09,Potential to reduce,RWF,3379,3637,0.9290624140775364,1
225,U021,2025-08,3637,293,Insurance,non_negotiable,0.0,-,RWF,3379,3637,0.9290624140775364,1
226,U021,2025-08,3637,337,Savings,high,0.49,Potential to reduce,RWF,3379,3637,0.9290624140775364,1
227,U021,2025-08,3637,652,Housing (Rent),non_negotiable,0.0,-,RWF,3379,3637,0.9290624140775364,1
228,U021,2025-08,3637,303,Transport,high,0.06,Potential to reduce,RWF,3379,3637,0.9290624140775364,1
229,U021,2025-08,3637,440,Transport,high,0.26,Potential to reduce,RWF,3379,3637,0.9290624140775364,1
230,U021,2025-08,3637,388,Education,high,0.26,Potential to reduce,RWF,3379,3637,0.9290624140775364,1
231,U021,2025-08,3637,120,Entertainment,low,0.23,Potential to reduce,RWF,3379,3637,0.9290624140775364,1
232,U022,2025-08,3369,299,Insurance,non_negotiable,0.0,-,RWF,3445,3369,1.0225586227367172,1
233,U022,2025-08,3369,389,Savings,high,0.17,Potential to reduce,RWF,3445,3369,1.0225586227367172,1
234,U022,2025-08,3369,641,Housing (Rent),non_negotiable,0.0,-,RWF,3445,3369,1.0225586227367172,1
235,U022,2025-08,3369,195,Savings,high,0.44,Potential to reduce,RWF,3445,3369,1.0225586227367172,1
236,U022,2025-08,3369,88,Entertainment,low,0.36,Potential to reduce,RWF,3445,3369,1.0225586227367172,1
237,U022,2025-08,3369,65,Clothing,medium,0.08,Potential to reduce,RWF,3445,3369,1.0225586227367172,1
238,U022,2025-08,3369,346,Food,high,0.47,Potential to reduce,RWF,3445,3369,1.0225586227367172,1
239,U022,2025-08,3369,483,Food,high,0.34,Potential to reduce,RWF,3445,3369,1.0225586227367172,1
240,U022,2025-08,3369,579,Insurance,non_negotiable,0.0,-,RWF,3445,3369,1.0225586227367172,1
241,U022,2025-08,3369,82,Clothing,medium,0.26,Potential to reduce,RWF,3445,3369,1.0225586227367172,1
242,U022,2025-08,3369,278,Food,high,0.42,Potential to reduce,RWF,3445,3369,1.0225586227367172,1
243,U023,2025-08,2091,422,Food,high,0.42,Potential to reduce,RWF,3837,2091,1.8350071736011477,1
244,U023,2025-08,2091,217,Clothing,medium,0.46,Potential to reduce,RWF,3837,2091,1.8350071736011477,1
245,U023,2025-08,2091,755,Health,non_negotiable,0.0,-,RWF,3837,2091,1.8350071736011477,1
246,U023,2025-08,2091,384,Transport,high,0.08,Potential to reduce,RWF,3837,2091,1.8350071736011477,1
247,U023,2025-08,2091,194,Transport,high,0.22,Potential to reduce,RWF,3837,2091,1.8350071736011477,1
248,U023,2025-08,2091,292,Other,medium,0.33,Potential to reduce,RWF,3837,2091,1.8350071736011477,1
249,U023,2025-08,2091,314,Transport,high,0.08,Potential to reduce,RWF,3837,2091,1.8350071736011477,1
250,U023,2025-08,2091,617,Housing (Rent),non_negotiable,0.0,-,RWF,3837,2091,1.8350071736011477,1
251,U023,2025-08,2091,214,Food,high,0.18,Potential to reduce,RWF,3837,2091,1.8350071736011477,1
252,U023,2025-08,2091,295,Savings,high,0.36,Potential to reduce,RWF,3837,2091,1.8350071736011477,1
253,U023,2025-08,2091,133,Entertainment,low,0.33,Potential to reduce,RWF,3837,2091,1.8350071736011477,1
254,U024,2025-08,1212,169,Other,medium,0.38,Potential to reduce,RWF,1855,1212,1.5305280528052805,1
